Timestamp,Stock,Bucket,Decision,Score,Signal,Price,Reason,Regime,Exit_Reason
2026-06-17 09:21:06,TITAN,Intraday,NO-TRADE,57.0,BUY 🟢,4340.0,❌ **TITAN** REJECTED for Intraday | Score: 64/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:21:06,SUNPHARMA,—,NO-TRADE,46.0,SELL 🔴,1810.4,Score 46/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:21:07,PFC,Intraday,NO-TRADE,56.0,BUY 🟢,428.4,❌ **PFC** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:21:10,RECLTD,Intraday,NO-TRADE,57.0,BUY 🟢,355.7,❌ **RECLTD** REJECTED for Intraday | Score: 64/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:21:10,ULTRACEMCO,Intraday,NO-TRADE,56.0,BUY 🟢,11371.0,❌ **ULTRACEMCO** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:21:11,NESTLEIND,—,NO-TRADE,45.0,SELL 🔴,1390.7,Score 45/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:21:12,ADANIENT,—,NO-TRADE,54.0,BUY 🟢,2944.6,"No suitable bucket for ADANIENT. Score 54/100, 1/4 strategies agree — signal is too weak for any bucket. Wait for a stronger setup.",WEAK BULL 📈,
2026-06-17 09:21:13,ADANIPORTS,—,NO-TRADE,53.0,BUY 🟢,1811.1,"No suitable bucket for ADANIPORTS. Score 53/100, 1/4 strategies agree — signal is too weak for any bucket. Wait for a stronger setup.",WEAK BULL 📈,
2026-06-17 09:21:14,POWERGRID,—,NO-TRADE,53.0,NEUTRAL ⚪,284.75,Signal is NEUTRAL ⚪ — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:21:15,NTPC,—,NO-TRADE,46.0,NEUTRAL ⚪,354.85,Score 46/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:21:15,ONGC,—,NO-TRADE,47.0,NEUTRAL ⚪,247.2,Score 47/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:21:16,COALINDIA,—,NO-TRADE,44.0,SELL 🔴,449.9,Score 44/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:21:19,RELIANCE,Intraday,NO-TRADE,56.0,BUY 🟢,1322.0,❌ **RELIANCE** REJECTED for Intraday | Score: 59/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:21:19,TMCV,Intraday,NO-TRADE,58.0,BUY 🟢,400.0,❌ **TMCV** REJECTED for Intraday | Score: 64/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:21:19,TCS,—,NO-TRADE,50.0,NEUTRAL ⚪,2221.2,Signal is NEUTRAL ⚪ — not a BUY. No action taken.,WEAK BULL 📈,
2026-06-17 09:21:19,SHRIRAMFIN,Intraday,NO-TRADE,59.0,BUY 🟢,1009.2,❌ **SHRIRAMFIN** REJECTED for Intraday | Score: 69/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:21:20,TATASTEEL,—,NO-TRADE,47.0,NEUTRAL ⚪,196.13,Score 47/100 below minimum 50/100. No bucket would accept this.,WEAK BULL 📈,
2026-06-17 09:21:23,HDFCBANK,Intraday,NO-TRADE,58.0,BUY 🟢,785.4,❌ **HDFCBANK** REJECTED for Intraday | Score: 64/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
2026-06-17 09:21:23,HCLTECH,Intraday,NO-TRADE,55.0,BUY 🟢,1166.6,❌ **HCLTECH** REJECTED for Intraday | Score: 57/100 | Votes: 1/4 Reasons: Portfolio risk gate: 🛑 Blocked: Intraday bucket drawdown: -16.7% (limit: -10.0%). Bucket paused — no new entries until losses recover. Existing positions continue unaffected.,WEAK BULL 📈,
